Nachname;Name;Oberthema;Thema;Fundstelle;Sitzung;Datum;;
Agnes;Lore Agnes;Gerichtsverfassung;Frauen als Schöffen, Geschworene und Laienrichter. Gesetzentwurf: II. B.;Bd. 354, 204. Sitz. S. 6912C ;204;1922-04-06;;
Agnes;Lore Agnes;Rheinland Landwirte und Müller;Sabotierung der Reichsgetreideordnung/Beschimpfung der reichstreuen Rheinländer/v. Falkenhayn, Direktor der Reichsgetreidestelle;Bd. 346, 49. Sitz. S. 1827D ;49;1920-12-17;;
Agnes;Lore Agnes;Wochenhilfe und Wochenfürsorge;Gesetzentwurf: II. B./Einkommensgrenze für Minderbemittelte/Hebammenwesen, Verstaatlichung/SchwangerschaftsunterstützungStillgeld, Begrenzung, Milchverbilligung;Bd. 350, 132. Sitz. S. 4460C ;132;1921-07-06;;
Agnes;Lore Agnes;Wochenhilfe und Wochenfürsorge;Gesetzesentwurf III B/ Stellung der Unabhängigen SozialdemokratieStillgeld, Begrenzung, Milchverbilligung;Bd. 350, 133. Sitz. S. 4527B;133;1921-07-07;;
Agnes;Lore Agnes;Wochenhilfe und Wochenfürsorge;Stillgeld, Begrenzung, Milchverbilligung;Bd. 350, 133. Sitz. S. 4531A ;133;1921-07-07;;
Agnes;Lore Agnes;Wochenhilfe und Wochenfürsorge;Gesetzesentwurf II. B.;Bd. 351, 150. Sitz. S. 5239B ;150;1921-12-15;;
Agnes;Lore Agnes;Zuckersteuergesetz;Zucksteuer Abänderung. Gesetzentwurf: II. B.;Bd. 353, 195. Sitz. S. 6594D ;195;1922-03-24;;
Baum;Dr. phil. Marie Baum;Gerichtsverfassung;Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 347, 73. Sitz. S. 2623C;73;1921-03-02;;
Baum;Dr. phil. Marie Baum;Jugendwohlfahrt;Reichsjugendwohlfahrtsgesetz: Aufbringung der Kosten, Zusammenfassung der privaten und öffentlichen Fürsorge/ Jugendämter. Besetzung mit sozialgeschulten Kräften;Bd. 347, 58. Sitz. S. 2175B ;58;1921-01-27;;
Bäumer;Dr. phil. Getrud Bäumer;Beamte und Beamtinnen;Disziplinierung wegen unehelicher Vaterschaft/Beamtinnen, uneheliche Mutterschaft, Stellung weiblicher Berufsverbände;Bd. 354, 204. Sitz. S. 6929B ;204;1922-04-06;;
Bäumer;Dr. phil. Getrud Bäumer;Geschlechtskrankheiten;Bekämpfung/Ausstellung von Gegenständen zur Verhütung von Geschlechtskrankheiten, Strafbarkeit/Gewerbsmäßige Unzucht, Strafbarkeit/Polizeiliche Reglementierung, Bordelle, Sittenkontrolle;Bd. 360, 367. Sitz. S. 11424D - S. 112425C;367;1923-06-16;;
Bäumer;Dr. phil. Getrud Bäumer;Preise;Unbegründete Erhöhungen, Einsetzung eines Untersuchungsausschusses (Antrag Müller (Franken)/Milch für Säuglinge und Kinder/Not der Rentner;Bd. 357, 289. Sitz. S. 9472D ;357;1923-01-17;;
Bäumer;Dr. phil. Getrud Bäumer;Schulen;Reichsschulkonferenz, Ausschaltung eines besonderen Referats über Mädchenschulen;Bd. 345, 30. Sitz. S. 1111C;30;1920-11-19;;
Bäumer;Dr. phil. Getrud Bäumer;Schulen;Berechtigungswesen;Bd. 352, 164. Sitz. S. 5666A ;164;1922-01-31;;
Behm;Margarete Behm;Arbeitslosigkeit und Erwerbslosenfürsorge;Interpellation Frau Ansorge und Antrag Ledebour/ Geschäftsordnung;Bd. 345, 19. Sitz. S. 735D;19;1920-08-05;;
Behm;Margarete Behm;Besetzte Gebiete;Gesundheitswesen, Bordelle;Bd. 357, 280. Sitz. S. 9280C;280;1922-12-12;;
Behm;Margarete Behm;Ein- und Ausfuhrbewilligungen;Fühlungnahme des Reichskommissars mit Leuten der Praxis;Bd. 346, 41. Sitz. S. 1461C;41;1920-10-02;;
Behm;Margarete Behm;Gerichte;Entlastung Gesetzesentwurf III B;Bd. 348, 78. Sitz. S. 2741C;78;1921-03-08;;
Behm;Margarete Behm;Gewerbe- und Kaufmannsgerichte;Passives Wahlrecht der Frauen;Bd. 348, 74. Sitz. S. 2639B;74;1921-03-03;;
Behm;Margarete Behm;Gewerbeaufsicht;Zulassung von Frauen;Bd. 347, 69. Sitz. S. 2505D;69;1921-02-25;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Einbeziehung in die Kranken-, Invaliden- und Hinterbliebenenversicherung/ Organisierung zur Regelung der Lohn- und Arbeitsbedingungen/ Lohnämter oder Fachausschüsse/ Festlegung eines Wochenarbeitsquantums;Bd. 347, 69. Sitz. S. 2504B;69;1921-02-25;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Abänderung des Hausarbeitsgesetzes, Gesetzentwurf: I. B;Bd. 359, 326. Sitz. S. 10385C;359;1921-03-23;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Einbeziehung in die Kranken-, Invaliden- und Hinterbliebenenversicherung;Bd. 350, 132. Sitz. S. 4447A;132;1921-07-06;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Bekleidungsgewerbe, Notlage (Anfrage);Bd. 351, 146. Sitz. S. 5058C;351;1921-11-18;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Bekleidungsgewerbe, Notlage. (Anfrage);Bd. 351, 146. Sitz. S. 5059A;351;1921-11-18;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Einbeziehung in die Kranken-, Invaliden- und Hinterbliebenenversicherung;Bd. 354, 205. Sitz. S. 6983C;205;1922-04-07;;
Behm;Margarete Behm;Heimarbeit, Hausindustrie;Heimarbeit, Abschaffung/Abänderung des Hausarbeitsgesetz, Gesetzesentwurf III. B/Lohnämter oder Fachausschüsse;Bd. 360, 367. Sitz. S. 11429A;367;1923-06-16;;
Behm;Margarete Behm;Innungen;Wählbarkeit von Frauen in Vorstand und Ausschüsse;Bd. 348, 78. Sitz. S. 2741C;78;1921-03-08;;
Behm;Margarete Behm;Invalidenversicherung;Anderweite Festsetzung der Leistungen und der Beiträge. Gesetzentwurf: II. B;Bd. 350, 132. Sitz. S. 4447A;132;1921-07-06;;
Behm;Margarete Behm;Kaiserin Auguste Viktoria;Verbot einer Gedächtnisfeier an ihrem Grabe;Bd. 351, 140. Sitz. S. 4808C;140;1921-11-04;;
Behm;Margarete Behm;Reichshaushalt;Reichshaushaltsplan für 1920, Reichswirtschaftsministerium: II. B;Bd. 346, 41. Sitz. S. 1461B;41;1920-12-02;;
Behm;Margarete Behm;Reichshaushalt;Reichshaushaltsplan für 1920, Reichsarbeitsministerium: II. B;Bd. 347, 69. Sitz. S. 2503C;69;1921-02-25;;
Behm;Margarete Behm;Reichshaushalt;Reichshaushalt für 1921, Dritter Nachtrag: II. B.;Bd. 352, 152. Sitz. S. 5353A;152;1921-12-17;;
Behm;Margarete Behm;Reichshaushalt;Reichshaushalt für 1922. Reichsministerium des Innern: II. B.;Bd. 357, 280. Sitz. S. 9280B;280;1922-12-12;;
Behm;Margarete Behm;Versicherungswesen;Reichsversicherungsordnung, Reform. Antrag Frau Agnes u. Bartz (Hannover) (Geschäftsordnung);Bd. 351, 137. Sitz. S. 4728D;137;1921-10-01;;
Behm;Margarete Behm;Versicherungswesen;Änderungen der Reichsversicherungsordnung. Gesetzentwurf: II. B/ Änderung des Titels: »Gesetz über Änderungen der Reichsversicherungsordnung« in »Gesetz über die Versicherung der Hausgewerbetreibenden« (Berichterstatterin);Bd. 354, 205. Sitz. S. 6983C;205;1922-04-07;;
Behm;Margarete Behm;Wochenhilfe;Gesetzentwurf: II. B./ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag, Milchverbilligung;Bd. 351, 150. Sitz. S. 5245B;150;1921-12-15;;
Brönner;Elisabeth Brönner;Polen;Verhaftung des Dr. van Holtum und des Dr. Wagner (Anfrage);Bd. 344, 6. Sitz. S. 128B;6;1920-07-02;;
Dransfeld;Hedwig Dransfeld;Beamte und Beamtinnen;Disziplinierung wegen unehelicher Vaterschaft/ Uneheliche Mutterschaft, Stellung weiblicher Berufsverbände;Bd. 354, 204. Sitz. S. 6921B;204;1922-04-06;;
Dransfeld;Hedwig Dransfeld;Beamte und Beamtinnen;Uneheliche Mutterschaft, Stellung weiblicher Berufsverbände;Bd. 354, 204. Sitz. S. 6933C;204;1922-04-06;;
Dransfeld;Hedwig Dransfeld;Gerichte;Entlastung. Gesetzentwurf: II. B;Bd. 3+F116:F14047, 73. Sitz. S. 2623B;73;1921-03-02;;
Dransfeld;Hedwig Dransfeld;Gerichte;Entlastung. Gesetzentwurf: III. B;Bd. 348, 78. Sitz. S. 2731B;78;1921-03-08;;
Dransfeld;Hedwig Dransfeld;Gerichtsverfassung;Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 347, 73. Sitz. S. 2623B;73;1921-03-02;;
Dransfeld;Hedwig Dransfeld;Gerichtsverfassung;Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 348, 78. Sitz. S. 2731C;78;1921-03-08;;
Dransfeld;Hedwig Dransfeld;Gesundheitswesen;Psychopathenfürsorge;Bd. 348, 86. Sitz. S. 3035A;86;1921-03-16;;
Dransfeld;Hedwig Dransfeld;Kleinrentner;Höhe des Unterstützungsfonds, Richtlinien des Reichsarbeitsministeriums  über die Verwendung/ Vorlegung einer Denkschrift über die Hilfsmaßnahmen der Länder und Gemeinden und die praktischen Erfahrungen dabei;Bd. 355, 214. Sitz. S. 7407A;214;1922-05-19;;
Dransfeld;Hedwig Dransfeld;Lichtspiele;"Filme für Schul- und Bildungszwecke/Gebührenfreiheit für Prüfung von Lehrfilmen; Übertragung auf die Filmprüfungsstellen/ Reichsfilmstelle, Neuorganisation";Bd. 348, 85. Sitz. S. 3001A;85;1921-03-15;;
Dransfeld;Hedwig Dransfeld;Lichtspiele;Lichtspielgesetz. Änderung. Gesetzentwurf: II. B. (Berichterstatterin);Bd. 357, 278. Sitz. S. 9237C;278;1922-12-07;;
Dransfeld;Hedwig Dransfeld;Literatur;Schund- und Schmutzliteratur. Vorlegung eines Gesetzentwurfs;Bd. 348, 86. Sitz. S. 3036B;86;1921-03-16;;
Dransfeld;Hedwig Dransfeld;Reichshaushalt;Reichshaushaltsplan für 1920. Reichsministerium des Innern nebst Ergänzung: II. B;Bd. 348, 85. Sitz. S. 3001A;85;1921-03-15;;
Dransfeld;Hedwig Dransfeld;Reichshaushalt;Reichshaushaltsplan für 1920. Reichsministerium des Innern nebst Ergänzung: II. B;Bd. 348, 86. Sitz. S. 3035A;86;1921-03-16;;
Dransfeld;Hedwig Dransfeld;Reichshaushalt;Reichshaushaltsplan für 1922, Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6921A;204;1922-04-06;;
Dransfeld;Hedwig Dransfeld;Reichshaushalt;Reichshaushaltsplan für 1922, Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6933C;204;1922-04-06;;
Dransfeld;Hedwig Dransfeld;Reichshaushalt;Reichsarbeitsministerium: II. B.;Bd. 355, 214. Sitz. S. 7407A;214;1922-05-19;;
Eichler;Wilhelmine Eichler;Länder;Absprengung von den Vereinigten Thüringer Kleinstaaten (Enklave Ostheim) (Anfrage);Bd. 354, 199. Sitz S.6743A;354;1922-03-31;;
Fritsch;Milka Fritsch;Geschlechtskrankheiten;Bekämpfung. Gesetzesentwurf II. B./ Behandlungszwang, Behandlungsrecht;Bd. 360, 365. Sitz. S11367D;365;1923-06-14;;
Fritsch;Milka Fritsch;Prostitution;Polizeiliche Reglementierung;Bd. 360, 365. Sitz. S.11368B;365;1923-06-14;;
Hoffmann;Hedwig Hoffmann;Münzwesen;Ausprägung von Hartgeld in den Werten von 1 bis 10 M. (Anfrage);Bd. 353, 195. Sitz. S. 6572D;195;1922-03-24;;
Juchacz;Marie Juchaz;Gerichte;Entlastung der Gerichte. Gesetzentwurf: III. B.;Bd. 348, 78. Sitz. S. 2741D;78;1921-03-08;;
Juchacz;Marie Juchaz;Gewerbeordnung;Wählbarkeit von Frauen in Innungen zu Mitgliedern des Vorstandes und der Ausschüsse;Bd. 348, 78. Sitz. S. 2741D;78;1921-03-08;;
Juchacz;Marie Juchaz;Jugendwohlfahrtsgesetz;Gesetzentwurf: II. B.;Bd. 355, 225. Sitz. S. 7788A;225;1922-06-13;;
Juchacz;Marie Juchaz;Kinderschutzgesetz;Änderung des Gesetzes von 1903;Bd. 355, 225. Sitz. S. 7789C;225;1922-06-13;;
Juchacz;Marie Juchaz;Reichswohlfahrtsgesetz;Schaffung an Stelle eines Unterstützungswohnsitzgesetzes und der neueren sozialpolitischen Unterstützungsgesetze (Anfrage);Bd. 348, 75. Sitz. S. 2649C;75;1921-03-04;;
Juchacz;Marie Juchaz;Uneheliche Kinder;Befreiung von der Aufsicht des Jugendamts;Bd. 355, 225. Sitz. S. 7789A;225;1922-03-13;;
Juchacz;Marie Juchaz;Uneheliche Mutterschaft;Ausdehnung des Mutterschutzes vor und nach der Geburt auf außereheliche Mütter;Bd. 355, 225. Sitz. S. 7789B;225;1922-03-13;;
Kähler;Wilhelmine Kähler;Hausangestellte;Überleitung junger Mädchen aus der Industrie in die Hauswirtschaf;Bd. 347, 69. Sitz. S. 2495B;69;1921-02-25;;
Kähler;Wilhelmine Kähler;Reichshaushaltsplan für 1920;Reichsarbeitsministerium: II. B.;Bd. 347, 69. Sitz. S. 2495B;69;1921-02-25;;
Lang-Brumann;Thusnelda Lang-Brumann;Gemeinden;Finanznot der Gemeinden: Interpellation Dr. Petersen/ Besteuerung des reichssteuerfreien Einkommenteils, Wegfall, Wirkung auf die Gemeindefinanzen;Bd. 352, 155. Sitz. S. 5425B;155;1922-01-20;;
Lang-Brumann;Thusnelda Lang-Brumann;Geschlechtskrankheiten;Gesetzentwurf: II. B.;Bd. 360, 364. Sitz. S. 11325C;364;1923-06-13;;
Lang-Brumann;Thusnelda Lang-Brumann;Geschlechtskrankheiten;Gewerbsmäßige Unzucht, Polizeiliche Reglementierung, Bordelle;Bd. 360, 364. Sitz. S. 11325C;364;1923-06-13;;
Lang-Brumann;Thusnelda Lang-Brumann;Geschlechtskrankheiten;Gesetzentwurf: II. B.;Bd. 360, 367. Sitz. S. 11419B;367;1923-06-16;;
Lang-Brumann;Thusnelda Lang-Brumann;Geschlechtskrankheiten;Gewerbsmäßige Unzucht, Verbot in der Nähe bestimmter Örtlichkeiten und Wohnungen;Bd. 360, 367. Sitz. S. 11419B;367;1923-06-16;;
Lang-Brumann;Thusnelda Lang-Brumann;Jugendwohlfahrtsgesetz;Interpellation Frau Neuhaus (Westfalen)/ Freie Liebestätigkeit, private Vereinigungen, Aufrechterhaltung;Bd. 347, 58. Sitz. S. 2183C;58;1921-01-27;;
Lang-Brumann;Thusnelda Lang-Brumann;Jugendwohlfahrtsgesetz;Reichsjugendwohlfahrtsgesetz. Entwurf: II. B./Jugendämter als Vormundschaftsbehörden/ Kosten der Ausführung;Bd. 355, 226. Sitz. S. 7810C;226;1922-06-14;;
Lang-Brumann;Thusnelda Lang-Brumann;Schulen;Kadettenanstalten. Verwendung der ehemaligen militärischen Bildungsanstalten;Bd. 350, 127. Sitz. S. 4225A;127;1921-06-30;;
Lang-Brumann;Thusnelda Lang-Brumann;Schulen;Ausführung des Art. 146 Abs. 2 der Reichsverfassung (Schulformen -- Gemeinschaftsschule, Bekenntnisschule, weltliche Schule, Weltanschauungsschule --, Religionsunterricht). Gesetzentwurf: I. B;Bd. 352, 158. Sitz. S. 5524B;158;1922-01-24;;
Lang-Brumann;Thusnelda Lang-Brumann;Wohnungswesen;Förderung des Wohnungsbaues, vorläufige. Gesetzentwurf Müller (Franken) u. Gen.: I. B;Bd. 347, 65. Sitz. S. 2352C;65;1921-02-03;;
Lang-Brumann;Thusnelda Lang-Brumann;Wohnungswesen;Erhebung einer Abgabe zur Forderung des Wohnungsbaues. Gesetzentwurf: II. B./ Wohnungsbauabgabe, Bildung eines Reichsausgleichsfonds, Aufgaben;Bd. 350, 119. Sitz. S. 4049B;119;1921-06-21;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Arbeiterinnen;Heraufsetzung des Schutzalters;Bd. 347, 57. Sitz. S. 2137A;57;1921-01-26;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Besetzte Gebiete;Beschlagnahme bestellten Ackerlandes bei Düren zur Errichtung von Flugzeughallen. (Anfrage);Bd. 345, 24. Sitz. S. 853A;24;1920-10-29;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Besetzte Gebiete;Vergebung von Mobiliarlieferungen für die französische Besatzung in Mainz  (Anfrage);Bd. 345, 24. Sitz. S. 854C;24;1920-10-29;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Besetzte Gebiete;Ausschreitungen farbiger und weißer Franzosen und der Quartierlasten zur Veröffentlichung und unparteiischen Nachprüfung. (Anfrage);Bd. 351, 148. Sitz. S. 5167C;148;1921-12-13;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Besetzte Gebiete;Ausschreitungen farbiger und weißer Franzosen und der Quartierlasten zur Veröffentlichung und unparteiischen Nachprüfung. (Anfrage);Bd. 351, 148. Sitz. S. 5168B;148;1921-12-13;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Ehe;Umgestaltung des Ehescheidungs- und ehelichen Güterrechts;Bd. 347, 57. Sitz. S. 2135C;57;1921-01-26;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Frauen;Zulassung zu allen berufsständischen Vertretungskörpern und ihren Organen/ Zulassung zum Börsenbesuch/ Zulassung zum Schöffen- und Geschworenenamt;Bd. 346, 41. Sitz. S. 1456C;41;1920-12-02;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Frauen;Zulassung zum Schöffen- und Geschworenenamt/ Juristische Vorbildung und Ausbildung/ Zulassung zur gesamten Rechtspflege;Bd. 347, 57. Sitz. S. 2133C;57;1921-01-26;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Frauen;Wählbarkeit für die Gewerbe- und Kaufmannsgerichte.;Bd. 348, 74. Sitz. S. 2640A;74;1921-03-03;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Frauen;Zulassung zum Schöffen- und Geschworenenamt;Bd. 348, 78. Sitz. S. 2732C;78;1921-03-08;;
